date,D2000s,Dfincris,ipr,sr,su,y
4/1/2004,0,0,0.442763041,-0.840022156,-5.037513398,0.727682786
7/1/2004,0,0,0.521216236,-1.732172928,2.405857741,0.900748675
10/1/2004,0,0,1.369278721,5.184676367,-1.810436635,0.856951813
1/1/2005,0,0,1.381282284,2.4885204,0.212539851,1.054714133
4/1/2005,0,0,0.535121814,-0.84028585,-4.323725055,0.519407212
7/1/2005,0,0,-0.438505258,3.508066217,-3.085714286,0.833081615
10/1/2005,0,0,0.835615711,0.512815404,-6.189320388,0.568277402
1/1/2006,0,0,0.935236281,4.231668635,7.311586052,1.187127646
4/1/2006,0,0,0.591453118,-0.221742406,-6.085918854,0.297924855
7/1/2006,0,0,0.384168458,0.584289599,0.238095238,0.089353749
10/1/2006,0,0,0.196755222,7.498458652,9.189189189,0.77663616
1/1/2007,0,0,0.89421098,2.541601603,-0.32537961,0.061741046
4/1/2007,0,0,1.192479757,4.984324216,-6.098964327,0.759111467
7/1/2007,0,0,0.268258086,-0.516481155,-1.400233372,0.668093988
10/1/2007,0,0,0.177890825,0.420874119,-10.58064516,0.355641463
1/1/2008,0,1,-0.344034523,-10.20302696,-6.310013717,-0.687292009
4/1/2008,0,1,-1.374930207,1.540353675,-22.31543624,0.493919914
7/1/2008,0,1,-3.262599802,-9.123600005,8.024691358,-0.481572114
10/1/2008,0,1,-4.464700735,-31.69021225,-12.305026,-2.158594524
1/1/2009,0,1,-5.720828022,-12.14666624,1.02915952,-1.404986067
4/1/2009,0,0,-2.902545366,9.999166771,14.51612903,-0.135557252
7/1/2009,0,0,1.253969203,10.93543433,0.292397661,0.325770352
10/1/2009,0,0,1.51548209,8.926649113,2.564102564,0.958774235
1/1/2010,0,0,1.97196965,3.152641796,5.0067659,0.430980267
4/1/2010,0,0,2.073479936,0.973432956,0,0.956792629
7/1/2010,0,0,1.557050582,-3.437404158,-8.199121523,0.67040707
10/1/2010,0,0,0.372785972,9.424321406,4.207573633,0.626166368
1/1/2011,0,0,0.613430002,7.81721559,2.462380301,-0.387734916
4/1/2011,0,0,0.293483166,1.206016731,-1.668984701,0.722196223
7/1/2011,0,0,1.250713896,-7.32079987,-20.43551089,0.210330115
10/1/2011,0,0,0.941529709,0.031239893,7.87037037,1.113253201
1/1/2012,0,0,1.26097187,9.573087898,14.17218543,0.555101402
4/1/2012,0,0,0.918745542,0.066323831,1.048492792,0.402223811
7/1/2012,0,0,0.388902122,3.728104991,-1.733333333,0.61303834
10/1/2012,0,0,0.585449498,1.219795267,5.541561713,0.015336567
1/1/2013,0,0,1.014446338,6.539647345,-3.520208605,0.674063762
4/1/2013,0,0,0.467694771,6.117619038,6.11995104,0.436674479
